,xcoord,ycoord
s_008um_00565_00641-1,2550.126544933845,16836.20504780465
s_008um_00260_00651-1,2124.002392693911,7938.413375959831
s_008um_00748_00506-1,6571.014701965328,22117.561670920248
s_008um_00604_00550-1,5223.437724425309,17934.298439054965
s_008um_00111_00190-1,15518.695155188714,3382.160730594291
s_008um_00537_00138-1,17223.038238515546,15796.753279769273
s_008um_00667_00486-1,7119.287208790032,19744.814952525725
s_008um_00101_00137-1,17062.245979219384,3066.381026264195
s_008um_00425_00288-1,12793.992613734325,12593.553190727376
s_008um_00116_00223-1,14557.128675657847,3542.9579956438292
s_008um_00426_00494-1,6780.011685472482,12714.123123307854
s_008um_00636_00121-1,17762.613054477857,18679.307220977724
s_008um_00649_00486-1,7111.3908982194025,19219.471480364915
s_008um_00189_00546-1,5157.900382430894,5818.914012202553
s_008um_00210_00413-1,9050.11085069508,6372.534809267023
s_008um_00332_00097-1,18331.12849246789,9793.52100993646
s_008um_00597_00628-1,2943.6431081647165,17764.38554277794
s_008um_00293_00545-1,5232.781390565074,8854.456890086016
s_008um_00667_00294-1,12724.565846633412,19660.35697708086
s_008um_00637_00104-1,18259.497075015563,18701.010915765484
s_008um_00252_00589-1,3930.3067820772953,7677.230209955479
s_008um_00723_00547-1,5363.273060894247,21405.957405657675
s_008um_00701_00443-1,8389.441173336634,20718.223581746373
s_008um_00116_00227-1,14440.31300090438,3544.7516249152154
s_008um_00387_00185-1,15785.112074466842,11438.452811577205
s_008um_00712_00116-1,17941.72401186646,20895.631080607523
s_008um_00073_00282-1,12815.352486326867,2313.86345849343
s_008um_00120_00572-1,4368.549282582788,3816.1999372182568
s_008um_00552_00409-1,9316.729050753327,16354.350538145718
s_008um_00642_00198-1,15516.720100215158,18888.366079945263
s_008um_00495_00597-1,3803.624960075872,14773.744329367211
s_008um_00574_00668-1,1766.0399522822086,17110.781580065657
s_008um_00451_00457-1,7871.138531642658,13427.463951521275
s_008um_00685_00186-1,15885.877098907678,20138.262437840516
s_008um_00246_00207-1,15081.129306852368,7331.582393406442
s_008um_00633_00639-1,2638.422524450135,18819.864758319032
s_008um_00074_00189-1,15531.75796397543,2301.3013405530787
s_008um_00219_00275-1,13083.573581453229,6573.63251765324
s_008um_00575_00100-1,18349.31654093353,16889.30891009612
s_008um_00425_00608-1,3451.7588915184783,12735.494594144382
s_008um_00699_00221-1,14869.998091155609,20562.300671127632
s_008um_00770_00501-1,6726.618068750479,22757.410870356864
s_008um_00436_00338-1,11338.87565069084,12936.847044968308
s_008um_00515_00093-1,18527.623828782485,15134.592846597729
s_008um_00300_00370-1,10345.0282250809,8980.836810379964
s_008um_00402_00572-1,4492.496615436628,12048.18729448515
s_008um_00187_00223-1,14588.123996857226,5616.067819020851
s_008um_00079_00327-1,11503.89305518731,2509.2606073782636
s_008um_00474_00613-1,3327.3629540632483,14167.898860410787
s_008um_00103_00149-1,16712.639345536227,3130.1666134743073
s_008um_00389_00709-1,487.8982057001865,11729.561468883861
s_008um_00578_00397-1,9678.452610499924,17107.95847252215
s_008um_00701_00556-1,5090.910137849633,20767.86609726315
s_008um_00056_00437-1,8281.868299432985,1887.110283947956
s_008um_00170_00461-1,7631.12719968189,5226.208421342635
s_008um_00623_00551-1,5202.593745543399,18489.26445152717
s_008um_00371_00358-1,10726.479936962718,11048.222520996058
s_008um_00648_00496-1,6819.0396675091615,19194.68686544544
s_008um_00626_00186-1,15860.147078516711,18416.02946160356
s_008um_00247_00115-1,17768.401419113186,7319.708276066234
s_008um_00561_00309-1,12240.272877411227,16572.896657381592
s_008um_00222_00535-1,5493.525544879537,6777.364205337436
s_008um_00170_00346-1,10988.900390166276,5174.746366805898
s_008um_00780_00449-1,8248.917325703782,23026.46339478017
s_008um_00481_00544-1,5344.5540271788705,14341.665047038154
s_008um_00307_00247-1,13939.660154413137,9130.404210789578
s_008um_00365_00212-1,14987.046743459203,10808.159489468422
s_008um_00327_00120-1,17657.22159267315,9657.773634846148
s_008um_00109_00535-1,5443.891820687348,3478.476203090182
s_008um_00303_00253-1,13762.70398576147,9016.294787270368
s_008um_00238_00158-1,16508.64200807466,7076.122125737302
s_008um_00230_00650-1,2139.985989211869,7062.251421000116
